District,usaono,defno,branch,progcat,priority,appealtype,collindc,casestat,ausa,littype,defstatus,defstatdt,matterdt,compdt,arrestdt,casedt,courtno,courtappeal,crttype,judge,casetype,caseweight,litresp,ldcharge,offensedt,cntrlsub,mbrseized,qtyseized,defdispdt,defdisp,defdpreas,invagency,invagencyno,dojdiv,dojno,factno,filler9,terrindic,evnt,evntdt,evntact,relusaonbr,realdefnbr,chgtype,totalcounts,errindc,filename,estdollar,errnojc,bondtype,bondamt,errindj,fine,errindj1,suspfine,errindj2,sentdt,susp,incar,incarsusp,sentsec,probation,sysdisdt,syseousadt,acrecvdt,acfiledt,accttermdt,progagcy,progagcyno,lateclosing,dcmns,lionsno,distseq,distname,disthicode,agcy,cca,mrrf,mrmf,mprf,mpmf,mtrf,mtmf,cfrf,cfcf,cprf,cpcf,ctrf,ctcf,irf,irc,ibrf,ibmf,crtrf,ctrcf,citrf,citcf,scrher,par dis,par div,rectype,disname2,nodis,alphadis,ID
AK,92R0023,1,2,83,,,,O,SC,,,,920128,,,920129,*********,,DC,,,,US,,911226,,,,,,,JUFB,***********,,,,,,JGMT,970307,CN,,,IN,1,,**** *** *** ****** *******,,,,,,,,,,,,,,,,970520,970531,920228,920228,,,,,,,,ALASKA,60,N,9,,,,,,,,,1,1,,,,,,,,,,,0A,6,0,1,,,,15
AK,92R0135,1,1,***,,,,O,TMB,,,,920410,,,,,,NC,,,,SD,,,,,,,,,ZEPA,*******,LAND,198-6-6,,,,ADJI,940401,CN,,,,,,****** **** **** *************,,,,,,,,,,,,,,,,970110,970131,920430,,,,,,,,,ALASKA,60,B,7,,,1,1,,,,,,,,,,,,,,,,,36,6,0,1,,,,16
AK,92R0223,1,2,06B,,,,O,SC,,CU,950914,920624,,950901,920624,*********,,DC,,,,US,,910628,,,,,,,INFW,*** *********,,,,,,CASE,970307,CN,,,S1,8,,**** *** ****** **********,,,,,,,,,,,,,,,,970312,970331,920630,920630,,,,,,,,ALASKA,60,B,7,,,,,,,,,1,1,,,,,,,,,,,0A,6,0,1,,,,17
AK,92R0234,1,1,62,,,,O,JWB,,FU,930316,920709,,,921118,*********,,DC,,,,US,,911126,,,,,,,INFW,*** **** **,,,,,,WARR,930316,FI,,,IN,2,,**** *** **** *** ****,,,,,,,,,,,,,,,,930323,930331,920731,921130,,,,,,,,ALASKA,60,B,4,,,,,,,,,1,1,,,,,,,,,,,0A,6,0,1,,,,18
AK,92R0235,1,1,36,,,,C,LR,,,,920709,,,950811,*********,,DC,JKS,,,US,,840626,,,,970429,GT,PLED,JUFB,***********,,,,,,SENT,970429,CP,,,S2,11,,**** *** **** ********** ****,,,,,,,,,,970429,,,,,4,970513,970531,920731,950831,970531,ZFDI,*** *********,,95-276199-6,,,ALASKA,60,O,4,,,,,,,,,,,1,1,,,,,,,,,10,6,0,1,,,,19
AK,92R0235,2,1,36,,,,C,LR,,,,920709,,,950811,*********,,DC,JKS,,,US,,840626,,,,970304,GT,PLED,JUFB,***********,,,,,,SENT,970304,CP,,,IN,6,,**** *** **** ********** ****,,,,,,3000000,,,,970304,,,,,1,970307,970331,920731,950831,970331,ZFDI,*** *********,,95-276199-6,,,ALASKA,60,O,4,,,,,,,,,,,1,,,,,,,,,,10,6,0,1,,,,20
AK,92R0235,3,1,36,,,,C,LR,,,,920709,,,950811,*********,,DC,JKS,,,US,,840626,,,,970313,DM,GWOD,JUFB,***********,,,,,,ORDR,970313,FI,,,IN,6,,**** *** **** ********** ****,,,,,,,,,,,,,,,,970314,970331,950831,950831,970331,ZFDI,*** *********,,95-276199-6,,,ALASKA,60,O,4,,,,,,,,,,,1,,,,,,,,,,22,6,0,1,,,,21
AK,92R0292,1,2,90,,,,O,SC,,CU,950914,920826,,950901,920826,*********,,DC,,,,US,,920731,,,,,,,INFW,*** *********,,,,,,WARR,950901,FI,,,IN,1,,**** *** *** ****** **********,,,,,,,,,,,,,,,,950929,950930,920831,920831,,,,,,,,ALASKA,60,Q,1,,,,,,,,,1,1,,,,,,,,,,,0A,6,0,1,,,,22
AK,92R0319,11,1,47,,,,O,SC,,FU,930316,920918,,,921006,*********,,DC,,,,US,,770901,M,,,,,,JUDE,**********,ZNTF,NW AK 008,,,,WARR,930316,FI,,,S1,37,,**** *** **** ********* ****,,,,,,,,,,,,,,,,960624,960630,921031,921031,,,,,93-017293-9,,,ALASKA,60,K,1,,,,,,,,,1,1,,,,,,,,,,,0A,6,0,1,,,,23
AK,92R0319,1,1,47,,,,C,SC,,,,920918,,950103,921006,*********,,DC,JKS,,,US,,770901,M,,,970613,GT,PLED,JUDE,**********,ZNTF,NW AK 008,,,,SENT,970613,CP,,,S1,37,,**** *** **** ********* ****,,,,,,,,,,970613,,132M,,,,970626,970630,920930,921031,970630,,,,93-017293-9,,,ALASKA,60,K,1,,,,,,,,,,,1,,,,,,,,,,10,6,0,1,,,,24
AK,92R0414,1,1,33,,,,C,SC,,,,921109,,,,,,NC,,,,US,,920415,,,,970110,DE,CADA,IRS,********,TAXD,TX9224138,,,,CLOS,970110,CP,,,,,,**** *** ********* ** *****,,,,,,,,,,,,,,,,970110,970131,921130,,970131,,,,,,,ALASKA,60,P,7,,,,,1,1,,,,,,,,,,,,,,,51,6,0,1,,,,25
AK,93R0002,1,1,37,,,,C,CR,,,,921027,,,,,,NC,,,,US,,,,,,961104,DE,LECI,JUFB,***********,,,,,,CLOS,961106,CP,,,,,,****** ******** *************,,,,,,,,,,,,,,,,970109,970131,930131,,970131,ZCTS,*************,,,,,ALASKA,60,O,5,,,,,1,1,,,,,,,,,,,,,,,51,6,0,1,,,,26
AK,93R0024,1,1,06B,,,,C,TMB,,,,930120,,,960508,******* **,,DC,JDR,,,US,,921008,,,,961009,GT,PLED,CDOA,** ******,,,,,,SENT,961009,CP,,,IF,1,,****** ******** *************,,,,,,1000000,,,,961009,,,,,2,961016,961031,930131,960630,961031,,,,96-400622-0,,,ALASKA,60,B,7,,,,,,,,,,,1,1,,,,,,,,,10,6,0,1,,,,27
AK,93R0024,2,1,06B,,,,C,TMB,,,,930120,,,960508,******* **,,DC,JDR,,,US,,921008,,,,961009,GT,PLED,CDOA,** ******,,,,,,SENT,961009,CP,,,IF,1,,****** ******** *************,,,,,,1000000,,,,961009,,,,,2,961016,961031,940630,961031,961031,,,,96-400622-0,,,ALASKA,60,B,7,,,,,,,1,,,,1,,,,,,,,,,10,6,0,1,,,,28
AK,93R0029,1,1,83,,A,,O,MAR,,,,930112,,,930112,********,,CA,,,,US,,920508,,,,,,,JUFB,*** *********,,,,,,APDO,930112,CM,92R0182,2,,,,**** *** ****** ** ******,,,,,,,,,,,,,,,,930122,930131,930131,930131,,,,,,,,ALASKA,60,Q,1,,,,,,,,,1,1,,,,,,,,,,,0B,6,0,1,,,,29
AK,93R0048,1,1,***,,,,O,SAC,,PD,940401,930205,,,,,,NC,,,,US,,910811,,,,,,,LABO,************,,,,,,PTDR,940401,CM,,,,,,**** *** ***** ****** *****,339200,,,,,,,,,,,,,,,950418,950430,930228,,,,,,,,,ALASKA,60,P,4,,,1,1,,,,,,,,,,,,,,,,,36,6,0,1,,,,30
AK,93R0051,1,1,90,,,,O,SAC,,FU,930106,930106,930106,,,*********,,MG,,,,US,,921127,,,,,,,JUFB,*** *********,,,,,,CMPL,930106,FI,,,CO,1,,**** *** **** ****** ******,,,,,,,,,,,,,,,,930209,930228,930228,,,,,,,,,ALASKA,60,Q,1,,,1,1,,,,,,,,,,,,,,,,,36,6,0,1,,,,31
AK,93R0065,1,1,37,,,,C,CR,,,,930205,,,960220,******* **,,DC,JKS,,,US,,920818,,,,970228,GT,PLED,JUFB,***********,,,,,,SENT,970228,CP,,,IN,2,,******* ****** *************,,,,,,,,,,970228,,015M,,,,970310,970331,930228,960228,970331,,,,96-349902-9,,,ALASKA,60,O,5,,,,,,,,,,,1,1,,,,,,,,,10,6,0,1,,,,32
AK,93R0194,1,1,***,,,,O,CR,,,,930520,,,,,,NC,,,,US,,,,,,,,,JUFB,***********,,,,,,AIRF,940330,CN,,,,,,*** *** ******** *************,,,,,,,,,,,,,,,,930601,940331,930630,,,,,,,,,ALASKA,60,O,5,,,1,1,,,,,,,,,,,,,,,,,36,6,0,1,,,,33
